DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2017-10-18,Darren Collison,IND,BRK,H,30.183333333333334,.788,.792,.250,.250,3.5,7.2,5.3,45.2,2.8,0.0,13.1,18.7,154,118
2017-10-18,Bojan Bogdanovic,IND,BRK,H,29.4,.678,.611,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,22.5,16.7,104,126
2017-10-18,Victor Oladipo,IND,BRK,H,24.55,.671,.583,.500,.833,0.0,22.2,10.9,19.0,6.9,0.0,15.5,29.2,125,105
2017-10-18,Cory Joseph,IND,BRK,H,24.666666666666668,.506,.450,.200,.200,4.2,8.8,6.5,17.2,3.4,3.0,8.4,17.8,117,114
2017-10-18,Lance Stephenson,IND,BRK,H,24.183333333333334,.377,.368,.474,.263,0.0,4.5,2.2,14.5,1.8,3.1,4.5,33.9,87,119
2017-10-18,Domantas Sabonis,IND,BRK,H,19.216666666666665,.962,1.000,.000,.429,21.7,17.0,19.4,7.0,0.0,0.0,10.7,17.9,173,122
2017-10-18,Damien Wilkins,IND,BRK,H,11.016666666666667,.333,.333,.667,.000,0.0,9.9,4.8,0.0,3.8,0.0,0.0,10.0,76,115
2017-10-18,T.J. Leaf,IND,BRK,H,9.5,.000,.000,1.000,.000,0.0,23.0,11.2,9.5,0.0,7.9,0.0,3.9,61,115
2017-10-18,Team Totals,IND,BRK,H,240.0,.603,.564,.333,.314,30.4,75.0,52.2,54.7,10.6,14.1,10.8,100.0,123.6,115.7
2017-10-18,Anthony Davis,NOP,MEM,R,40.233333333333334,.541,.413,.087,.739,18.2,26.2,22.4,0.0,0.0,1.9,14.1,38.9,109,108
2017-10-18,Jrue Holiday,NOP,MEM,R,38.5,.182,.182,.273,.000,5.4,10.0,7.8,18.1,1.3,0.0,15.4,14.9,60,113
2017-10-18,DeMarcus Cousins,NOP,MEM,R,38.4,.571,.500,.429,.381,5.4,20.0,13.0,13.3,0.0,13.9,14.0,32.8,111,103
2017-10-18,E'Twaun Moore,NOP,MEM,R,34.38333333333333,.481,.455,.182,.091,3.0,2.8,2.9,24.3,1.5,0.0,14.9,17.3,102,115
2017-10-18,Dante Cunningham,NOP,MEM,R,25.85,.658,.625,.750,.750,12.1,22.3,17.4,0.0,2.0,2.9,0.0,9.1,155,105
2017-10-18,Ian Clark,NOP,MEM,R,21.083333333333332,.500,.500,1.000,.000,0.0,13.7,7.1,16.4,2.4,0.0,25.0,8.4,96,109
2017-10-18,Darius Miller,NOP,MEM,R,17.166666666666668,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,4.4,0.0,2.6,0,116
2017-10-18,Jordan Crawford,NOP,MEM,R,12.666666666666666,.625,.625,.500,.000,8.2,0.0,3.9,50.7,0.0,0.0,33.3,20.9,104,118
2017-10-18,Tony Allen,NOP,MEM,R,10.883333333333333,.000,.000,.000,.000,0.0,17.6,9.2,0.0,0.0,14.0,50.0,8.1,0,104
2017-10-18,Cheick Diallo,NOP,MEM,R,0.8333333333333334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120
2017-10-18,Team Totals,NOP,MEM,R,240.0,.496,.424,.316,.367,34.8,70.0,53.1,50.0,4.3,19.0,15.6,100.0,97.6,110.4
2017-10-18,Mike Conley,MEM,NOP,H,32.68333333333333,.747,.733,.600,.467,0.0,16.0,7.6,17.1,3.1,0.0,5.2,24.3,149,96
2017-10-18,Marc Gasol,MEM,NOP,H,29.366666666666667,.389,.389,.278,.000,9.8,28.4,18.7,22.4,0.0,9.1,10.0,28.3,92,92
2017-10-18,Andrew Harrison,MEM,NOP,H,19.15,.167,.167,.000,.000,0.0,10.9,5.2,6.9,0.0,4.6,14.3,15.2,41,103
2017-10-18,James Ennis,MEM,NOP,H,18.583333333333332,1.250,1.250,.500,.000,5.2,0.0,2.7,15.3,0.0,0.0,0.0,4.5,239,111
2017-10-18,JaMychal Green,MEM,NOP,H,3.8833333333333333,.500,.500,.000,.000,0.0,26.9,12.9,46.4,0.0,0.0,0.0,21.4,125,97
2017-10-18,Dillon Brooks,MEM,NOP,H,29.416666666666668,.591,.538,.154,.538,6.5,10.6,8.5,11.8,7.0,6.0,11.1,25.6,117,87
2017-10-18,Brandan Wright,MEM,NOP,H,26.75,.635,.714,.000,.286,10.8,3.9,7.5,0.0,3.8,3.3,0.0,12.3,136,99
2017-10-18,Mario Chalmers,MEM,NOP,H,25.566666666666666,.223,.111,.444,.556,0.0,8.2,3.9,20.2,0.0,0.0,0.0,18.2,73,107
2017-10-18,Tyreke Evans,MEM,NOP,H,20.066666666666666,.427,.375,.333,.167,4.8,20.8,12.5,16.3,0.0,0.0,7.2,28.8,97,100
2017-10-18,Jarell Martin,MEM,NOP,H,19.266666666666666,.167,.167,.500,.000,14.9,10.8,13.0,0.0,0.0,4.6,40.0,21.6,38,103
2017-10-18,Chandler Parsons,MEM,NOP,H,15.266666666666667,.714,1.250,.500,2.500,12.6,13.7,13.1,0.0,3.4,0.0,0.0,11.5,137,96
2017-10-18,Team Totals,MEM,NOP,H,240.0,.494,.473,.315,.304,30.0,65.2,46.9,48.7,9.6,14.8,9.5,100.0,110.4,97.6
2017-10-18,Dion Waiters,MIA,ORL,R,38.3,.441,.441,.353,.000,0.0,0.0,0.0,14.2,2.4,1.8,15.0,20.6,82,112
2017-10-18,Hassan Whiteside,MIA,ORL,R,36.233333333333334,.710,.676,.059,.176,13.2,51.2,31.0,4.5,0.0,1.9,5.2,21.1,141,104
2017-10-18,Josh Richardson,MIA,ORL,R,34.93333333333333,.556,.556,.778,.000,0.0,6.2,2.9,7.1,0.0,2.0,18.2,12.4,92,115
2017-10-18,Goran Dragic,MIA,ORL,R,30.616666666666667,.409,.342,.211,.211,9.4,7.1,8.3,27.2,1.5,0.0,0.0,26.8,105,113
2017-10-18,Kelly Olynyk,MIA,ORL,R,21.0,.601,.500,.286,.429,0.0,26.0,12.2,18.5,0.0,0.0,0.0,15.7,136,111
2017-10-18,Justise Winslow,MIA,ORL,R,23.266666666666666,.563,.563,.125,.250,4.1,14.1,8.8,11.5,2.0,0.0,10.1,16.8,109,110
2017-10-18,Tyler Johnson,MIA,ORL,R,21.3,.389,.389,.333,.000,0.0,10.2,4.8,6.1,0.0,0.0,10.0,18.6,75,115
2017-10-18,James Johnson,MIA,ORL,R,18.7,.511,.556,.222,.444,10.3,11.7,10.9,65.9,2.4,3.7,27.1,31.2,96,106
2017-10-18,Wayne Ellington,MIA,ORL,R,9.95,.276,.200,.800,.200,0.0,0.0,0.0,0.0,4.6,0.0,15.5,25.6,50,108
2017-10-18,Bam Adebayo,MIA,ORL,R,5.7,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0,117
2017-10-18,Team Totals,MIA,ORL,R,240.0,.502,.475,.297,.168,22.0,75.0,46.8,61.4,5.7,5.8,10.7,100.0,103.6,110.3
2017-10-18,Evan Fournier,ORL,MIA,H,34.416666666666664,.643,.618,.294,.118,0.0,2.8,1.5,13.7,1.3,0.0,5.3,22.6,129,110
